fare_id,route_id,origin_id,destination_id,contains_id
1,10657,,,
1,1002,,,
1,1003,,,
1,1005,,,
1,1055,,,
1,1006,,,
1,1071,,,
1,1072,,,
1,1108,,,
1,1109,,,
1,1110,,,
1,1900,,,
1,1901,,,
1,1010,,,
1,1012,,,
1,10667,,,
1,10668,,,
1,10669,,,
1,10670,,,
1,10671,,,
1,10672,,,
1,10673,,,
1,10674,,,
1,10675,,,
1,10676,,,
1,1028,,,
1,1029,,,
1,10678,,,
1,1030,,,
1,1045,,,
1,10681,,,
1,10682,,,
1,10683,,,
1,10684,,,
1,10685,,,
1,10686,,,
1,10687,,,
1,10688,,,
1,10689,,,
1,10690,,,
1,10692,,,
1,10693,,,
1,10694,,,
1,10695,,,
1,10696,,,
1,10697,,,
2,1059,,,
2,1060,,,
2,10700,,,
1,10701,,,
1,10702,,,
1,10704,,,
1,1080,,,
1,1081,,,
1,1082,,,
1,10706,,,
1,10707,,,
1,10708,,,
1,10709,,,
1,1094,,,
1,1093,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,1198,,,
1,1196,,,
1,1199,,,
1,1197,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,10721,,,
1,1115,,,
1,1114,,,
1,10723,,,
1,10724,,,
1,10740,,,
1,10748,,,
1,10750,,,
